2023-03-28 09:07:22.273 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#7dddfc35:0/SimpleConnection@2c56e044 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 53964]
2023-03-28 09:07:22.321 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-28 09:07:22.322 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1307 ms
2023-03-28 09:07:22.325 [main] INFO  com.atcwl.gulicollege.ServiceOrderMain - Started ServiceOrderMain in 6.858 seconds (JVM running for 7.675)
2023-03-28 09:07:23.290 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2023-03-28 09:07:23.308 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:07:23.310 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:07:24.174 [main] INFO  org.reflections.Reflections - Reflections took 17 ms to scan 1 urls, producing 3 keys and 6 values 
2023-03-28 09:07:24.190 [main] INFO  org.reflections.Reflections - Reflections took 7 ms to scan 1 urls, producing 4 keys and 9 values 
2023-03-28 09:07:24.199 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 3 keys and 10 values 
2023-03-28 09:07:24.208 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 1 keys and 5 values 
2023-03-28 09:07:24.221 [main] INFO  org.reflections.Reflections - Reflections took 10 ms to scan 1 urls, producing 1 keys and 7 values 
2023-03-28 09:07:24.229 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 2 keys and 8 values 
2023-03-28 09:07:25.099 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8160"]
2023-03-28 09:07:25.108 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8160 (http) with context path ''
2023-03-28 09:07:25.122 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP service-ucenter 192.168.28.1:8160 register finished
2023-03-28 09:07:25.351 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2023-03-28 09:07:25.360 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2023-03-28 09:07:25.381 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2023-03-28 09:07:25.563 [main] INFO  com.atcwl.gulicollege.UcenterMain - Started UcenterMain in 5.226 seconds (JVM running for 5.987)
2023-03-28 09:07:27.133 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-28 09:07:27.140 [main] INFO  com.atcwl.gulicollege.SpringBootMain - Starting SpringBootMain using Java 15 on LAPTOP-N3UOGK91 with PID 25232 (F:\studying\another\IdeaProjects\JavaEngineering\gulicollege\service\service-edu\target\classes started by 陈伟龙 in F:\studying\another\IdeaProjects\JavaEngineering\gulicollege)
2023-03-28 09:07:27.141 [main] INFO  com.atcwl.gulicollege.SpringBootMain - The following 1 profile is active: "dev"
2023-03-28 09:07:27.858 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-03-28 09:07:27.859 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-03-28 09:07:27.878 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-03-28 09:07:28.038 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=f24c2520-79ee-3878-a818-56bde40d4254
2023-03-28 09:07:28.167 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.atcwl.gulicollege.config.RedisConfig$$EnhancerBySpringCGLIB$$556618cd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-03-28 09:07:28.371 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2023-03-28 09:07:28.377 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2023-03-28 09:07:28.378 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-28 09:07:28.378 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-28 09:07:28.501 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-28 09:07:28.501 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1331 ms
2023-03-28 09:07:29.219 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'service-aliyun' URL not provided. Will try picking an instance via load-balancing.
2023-03-28 09:07:29.301 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'service-order' URL not provided. Will try picking an instance via load-balancing.
2023-03-28 09:07:29.693 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2023-03-28 09:07:29.708 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:07:29.710 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-03-28 09:07:30.557 [main] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2023-03-28 09:07:30.573 [main] INFO  org.reflections.Reflections - Reflections took 8 ms to scan 1 urls, producing 4 keys and 9 values 
2023-03-28 09:07:30.581 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 3 keys and 10 values 
2023-03-28 09:07:30.589 [main] INFO  org.reflections.Reflections - Reflections took 5 ms to scan 1 urls, producing 1 keys and 5 values 
2023-03-28 09:07:30.596 [main] INFO  org.reflections.Reflections - Reflections took 5 ms to scan 1 urls, producing 1 keys and 7 values 
2023-03-28 09:07:30.604 [main] INFO  org.reflections.Reflections - Reflections took 5 ms to scan 1 urls, producing 2 keys and 8 values 
2023-03-28 09:07:31.455 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2023-03-28 09:07:31.462 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2023-03-28 09:07:31.474 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP service-edu 192.168.28.1:8001 register finished
2023-03-28 09:07:31.701 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2023-03-28 09:07:31.711 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2023-03-28 09:07:31.732 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2023-03-28 09:07:31.962 [main] INFO  com.atcwl.gulicollege.SpringBootMain - Started SpringBootMain in 5.467 seconds (JVM running for 6.288)
2023-03-28 09:09:35.123 [http-nio-8001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-28 09:09:35.123 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-28 09:09:35.125 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-28 09:09:35.156 [http-nio-8001-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-28 09:09:35.552 [http-nio-8001-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-28 09:09:40.037 [http-nio-8007-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-28 09:09:40.038 [http-nio-8007-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-28 09:09:40.039 [http-nio-8007-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-28 09:09:40.113 [http-nio-8007-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-28 09:09:40.268 [http-nio-8007-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-28 09:09:45.353 [http-nio-8160-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-28 09:09:45.353 [http-nio-8160-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-28 09:09:45.354 [http-nio-8160-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-28 09:09:45.398 [http-nio-8160-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-28 09:09:45.609 [http-nio-8160-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-28 09:12:04.722 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2023-03-28 09:12:05.555 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2023-03-28 09:12:05.589 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2023-03-28 09:12:05.593 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2023-03-28 09:12:05.949 [SpringApplicationShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is already stopped
2023-03-28 09:12:05.950 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-03-28 09:12:05.957 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-03-28 09:12:09.456 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-28 09:12:09.461 [main] INFO  com.atcwl.gulicollege.ServiceOrderMain - Starting ServiceOrderMain using Java 15 on LAPTOP-N3UOGK91 with PID 12476 (F:\studying\another\IdeaProjects\JavaEngineering\gulicollege\service\service-order\target\classes started by 陈伟龙 in F:\studying\another\IdeaProjects\JavaEngineering\gulicollege)
2023-03-28 09:12:09.462 [main] INFO  com.atcwl.gulicollege.ServiceOrderMain - The following 1 profile is active: "dev"
